time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-01T10:52:26.980Z,36.0105019,-120.574501,1.56,0.77,md,10,122,0.03074,0.06,nc,nc73104741,2018-11-01T12:43:03.563Z,"18km NW of Parkfield, CA",earthquake,0.38,0.97,0.33,3,automatic,nc,nc
2018-11-01T10:39:12.130Z,38.809166,-122.7935028,2.32,2.22,md,33,59,0.01082,0.04,nc,nc73104731,2018-11-01T11:49:03.244Z,"5km NW of The Geysers, CA",earthquake,0.2,0.34,0.16,9,automatic,nc,nc
2018-11-01T10:05:16.591Z,63.5449,-147.4978,0,1.6,ml,,,,0.8,ak,ak20308625,2018-11-01T10:09:45.424Z,"74km ENE of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-01T09:55:12.068Z,66.8781,-146.9221,6.4,1.6,ml,,,,0.96,ak,ak20308622,2018-11-01T10:05:52.933Z,"80km WNW of Fort Yukon, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-11-01T09:52:30.530Z,38.8313332,-122.8718338,2.36,0.54,md,5,89,0.02553,0,nc,nc73104716,2018-11-01T11:06:01.997Z,"12km WNW of The Geysers, CA",earthquake,0.57,2.83,,1,automatic,nc,nc
2018-11-01T09:52:13.071Z,59.4781,-152.7129,65.2,2.2,ml,,,,0.54,ak,ak20308618,2018-11-01T09:57:38.363Z,"59km WSW of Anchor Point, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-11-01T09:49:27.630Z,38.8396683,-122.8256683,1.39,0.56,md,9,93,0.007743,0.01,nc,nc73104711,2018-11-01T10:39:03.840Z,"9km WNW of Cobb, CA",earthquake,0.41,0.77,,1,automatic,nc,nc
2018-11-01T09:48:22.870Z,35.7406667,-84.0478333,11.18,2.08,md,9,136,0.1384,0.15,se,se60067823,2018-11-01T12:44:58.910Z,"7km WSW of Maryville, Tennessee",earthquake,0.75,1.69,0.06,6,reviewed,se,se
2018-11-01T09:26:49.071Z,59.0213,-153.2444,79,1.8,ml,,,,0.63,ak,ak20308612,2018-11-01T09:34:35.844Z,"116km SW of Anchor Point, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-11-01T09:11:56.280Z,33.4918333,-116.4836667,13.62,0.62,ml,19,97,0.0765,0.1,ci,ci37410362,2018-11-01T09:15:39.940Z,"19km ESE of Anza, CA",earthquake,0.3,0.41,0.122,14,automatic,ci,ci
